2023-10-05 08:18:16,946 | INFO | ulauncher: main() | Ulauncher version 5.15.4
2023-10-05 08:18:16,946 | INFO | ulauncher: main() | Extension API version 2.0.0
2023-10-05 08:18:16,946 | INFO | ulauncher: main() | GTK+ 3.24.38
2023-10-05 08:18:16,946 | INFO | ulauncher: main() | Is Wayland: True
2023-10-05 08:18:16,947 | INFO | ulauncher: main() | Wayland compatibility: off
2023-10-05 08:18:16,953 | DEBUG | ulauncher.ui.windows.Builder: __init__() | consider using a pythonic name instead of design name 'input-box'
2023-10-05 08:18:16,956 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','destroy', 'on_destroy'
2023-10-05 08:18:16,956 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_in_event', 'on_focus_in_event'
2023-10-05 08:18:16,956 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_out_event', 'on_focus_out_event'
2023-10-05 08:18:16,957 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'input','key_press_event', 'on_input_key_press_event'
2023-10-05 08:18:16,958 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_input_changed'
2023-10-05 08:18:16,958 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_about_activate'
2023-10-05 08:18:16,958 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_close_activate'
2023-10-05 08:18:16,958 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_preferences_activate'
2023-10-05 08:18:16,958 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_preferences_dialog_destroyed'
2023-10-05 08:18:16,959 | DEBUG | ulauncher.utils.display: get_screens() | Found 3 monitor(s)
2023-10-05 08:18:16,959 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 1080, Y: 0, W: 1920, H: 1080
2023-10-05 08:18:16,959 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 1 - X: 0, Y: 0, W: 1080, H: 1920
2023-10-05 08:18:16,959 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 2 - X: 1080, Y: 1080, W: 1920, H: 1080
2023-10-05 08:18:16,960 | DEBUG | ulauncher.utils.display: get_screens() | Found 3 monitor(s)
2023-10-05 08:18:16,960 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 1080, Y: 0, W: 1920, H: 1080
2023-10-05 08:18:16,960 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 1 - X: 0, Y: 0, W: 1080, H: 1920
2023-10-05 08:18:16,960 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 2 - X: 1080, Y: 1080, W: 1920, H: 1080
2023-10-05 08:18:16,968 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2023-10-05 08:18:16,970 | INFO | ulauncher.api.server.ExtensionServer: _start_thread() | Starting WS server on port 5054
2023-10-05 08:18:16,970 | INFO | ulauncher.search.apps.app_watcher: start() | Started scanning desktop dirs
2023-10-05 08:18:16,981 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.noam09.ulauncher-remmina" started. PID 12473
2023-10-05 08:18:16,983 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.jyvern.ulauncher-ssh" started. PID 12475
2023-10-05 08:18:16,985 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.khanghy3004.vim-with-fuzzy-finder-in-ulauncher" started. PID 12477
2023-10-05 08:18:16,985 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 77 apps in cache
2023-10-05 08:18:16,987 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.tuanpham-dev.ulauncher-better-calculator" started. PID 12479
2023-10-05 08:18:16,994 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.dynobo.ulauncher-list-keywords" started. PID 12481
2023-10-05 08:18:17,035 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/remmina-gnome.desktop": constructor returned NULL
2023-10-05 08:18:17,038 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.brpaz.ulauncher-jira" started. PID 12485
2023-10-05 08:18:17,039 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.jmakhack.ulauncher-neofetch-runner" started. PID 12488
2023-10-05 08:18:17,076 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.kbialek.ulauncher-bitwarden" started. PID 12492
2023-10-05 08:18:17,076 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.hillaryychan.ulauncher-fzf" started. PID 12490
2023-10-05 08:18:17,078 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 77 apps in the system
2023-10-05 08:18:17,078 | INFO | ulauncher.search.apps.app_watcher: start() | Scanned desktop dirs in 0.11 seconds
2023-10-05 08:18:17,088 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.hoaper.ulauncher-zh0per" started. PID 12491
2023-10-05 08:18:17,102 | INFO | ulauncher.ui.windows.UlauncherWindow: bind_show_app_hotkey() | Trying to bind app hotkey: <Super>u
2023-10-05 08:18:17,104 | DEBUG | ulauncher.search.apps.app_watcher: start() | Start watching desktop files...
2023-10-05 08:18:17,140 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.jmakhack.ulauncher-neofetch-runner" connected
2023-10-05 08:18:17,141 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.jmakhack.ulauncher-neofetch-runner"
2023-10-05 08:18:17,236 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.tuanpham-dev.ulauncher-better-calculator" connected
2023-10-05 08:18:17,237 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.tuanpham-dev.ulauncher-better-calculator"
2023-10-05 08:18:17,242 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.jyvern.ulauncher-ssh" connected
2023-10-05 08:18:17,243 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.jyvern.ulauncher-ssh"
2023-10-05 08:18:17,247 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.khanghy3004.vim-with-fuzzy-finder-in-ulauncher" connected
2023-10-05 08:18:17,247 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.khanghy3004.vim-with-fuzzy-finder-in-ulauncher"
2023-10-05 08:18:17,271 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.dynobo.ulauncher-list-keywords" connected
2023-10-05 08:18:17,271 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.dynobo.ulauncher-list-keywords"
2023-10-05 08:18:17,307 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.hoaper.ulauncher-zh0per" connected
2023-10-05 08:18:17,307 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.hoaper.ulauncher-zh0per"
2023-10-05 08:18:17,319 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.kbialek.ulauncher-bitwarden" connected
2023-10-05 08:18:17,320 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.kbialek.ulauncher-bitwarden"
2023-10-05 08:18:17,325 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.hillaryychan.ulauncher-fzf" connected
2023-10-05 08:18:17,326 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.hillaryychan.ulauncher-fzf"
2023-10-05 08:18:17,343 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.brpaz.ulauncher-jira" connected
2023-10-05 08:18:17,344 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.brpaz.ulauncher-jira"
2023-10-05 08:18:17,375 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.noam09.ulauncher-remmina" connected
2023-10-05 08:18:17,375 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.noam09.ulauncher-remmina"
2023-10-05 08:18:23,421 | DEBUG | ulauncher.ui.windows.UlauncherWindow: activate_preferences() | create new preferences_dialog
2023-10-05 08:18:23,430 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_hotkey_set'
2023-10-05 08:18:23,430 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_scheme_callback'
2023-10-05 08:18:23,574 | DEBUG | ulauncher.ui.windows.Builder: __init__() | consider using a pythonic name instead of design name 'hotkey-dialog-vbox1'
2023-10-05 08:18:23,574 | DEBUG | ulauncher.ui.windows.Builder: __init__() | consider using a pythonic name instead of design name 'new-hotkey-label'
2023-10-05 08:18:23,576 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'hotkey_dialog','delete_event', 'on_delete_event'
2023-10-05 08:18:23,577 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'hotkey_input','key_press_event', 'on_hotkey_input_key_press_event'
2023-10-05 08:18:23,825 | INFO | ulauncher.ui.windows.PreferencesUlauncherDialog: prefs_get_all() | API call /get/all
2023-10-05 08:18:28,299 | INFO | ulauncher.ui.windows.PreferencesUlauncherDialog: prefs_extension_get_all() | Handling /extension/get-all
2023-10-05 08:18:33,008 | INFO | ulauncher.ui.windows.PreferencesUlauncherDialog: prefs_showhotkey_dialog() | Show hotkey-dialog for hotkey-show-app
2023-10-05 08:18:37,215 | DEBUG | ulauncher: on_hotkey_input_key_press_event() | Invalid hotkey 'Return', ('Return') is not allowed
2023-10-05 08:18:37,221 | INFO | ulauncher.ui.windows.PreferencesUlauncherDialog: prefs_set_hotkey_show_app() | Set hotkey-show-app to Super_L
2023-10-05 08:18:37,223 | INFO | ulauncher.ui.windows.UlauncherWindow: bind_show_app_hotkey() | Trying to bind app hotkey: Super_L
2023-10-05 08:18:38,296 | DEBUG | ulauncher.utils.display: get_screens() | Found 3 monitor(s)
2023-10-05 08:18:38,296 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 1080, Y: 0, W: 1920, H: 1080
2023-10-05 08:18:38,296 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 1 - X: 0, Y: 0, W: 1080, H: 1920
